,Link,Total Values,Total Weights,Time
0,/content/kplib/00Uncorrelated/n00050/R10000/s052.kp,198132,130838,19.22603178
0,/content/kplib/00Uncorrelated/n00100/R10000/s005.kp,421993,284297,31.03052568
0,/content/kplib/00Uncorrelated/n00200/R10000/s062.kp,808426,469742,54.61543655
0,/content/kplib/00Uncorrelated/n00500/R10000/s023.kp,2037191,1202661,125.2655036
0,/content/kplib/00Uncorrelated/n01000/R10000/s062.kp,3879153,2497925,243.1277149
0,/content/kplib/01WeaklyCorrelated/n00050/R10000/s078.kp,132456,120370,19.53395367
0,/content/kplib/01WeaklyCorrelated/n00100/R10000/s076.kp,265826,242419,31.78171182
0,/content/kplib/01WeaklyCorrelated/n00200/R10000/s088.kp,549340,495576,55.2683022
0,/content/kplib/01WeaklyCorrelated/n00500/R10000/s074.kp,1422998,1296212,125.1716068
0,/content/kplib/01WeaklyCorrelated/n01000/R10000/s000.kp,2695892,2457311,242.7837749
0,/content/kplib/02StronglyCorrelated/n00050/R10000/s035.kp,163631,129631,19.08125257
0,/content/kplib/02StronglyCorrelated/n00100/R10000/s037.kp,311093,242093,30.9988637
0,/content/kplib/02StronglyCorrelated/n00200/R10000/s043.kp,641820,502820,54.93002653
0,/content/kplib/02StronglyCorrelated/n00500/R10000/s031.kp,1574699,1225699,125.2955022
0,/content/kplib/02StronglyCorrelated/n01000/R10000/s098.kp,3110983,2438983,242.4685657
0,/content/kplib/03InverseStronglyCorrelated/n00050/R10000/s019.kp,123611,139611,18.69339585
0,/content/kplib/03InverseStronglyCorrelated/n00100/R10000/s095.kp,265692,299692,30.81610608
0,/content/kplib/03InverseStronglyCorrelated/n00200/R10000/s044.kp,506336,569336,54.07125449
0,/content/kplib/03InverseStronglyCorrelated/n00500/R10000/s085.kp,1293930,1456930,121.5294867
0,/content/kplib/03InverseStronglyCorrelated/n01000/R10000/s075.kp,2644762,2983762,237.3930802
0,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s067.kp,152726,116585,19.21528816
0,/content/kplib/04AlmostStronglyCorrelated/n00100/R10000/s080.kp,311924,239814,31.32774711
0,/content/kplib/04AlmostStronglyCorrelated/n00200/R10000/s073.kp,612999,472944,54.82241273
0,/content/kplib/04AlmostStronglyCorrelated/n00500/R10000/s086.kp,1585983,1238940,125.6121302
0,/content/kplib/04AlmostStronglyCorrelated/n01000/R10000/s057.kp,3143996,2469965,242.667511
0,/content/kplib/05SubsetSum/n00050/R10000/s029.kp,120877,120877,18.3305943
0,/content/kplib/05SubsetSum/n00100/R10000/s050.kp,246266,246266,29.347615
0,/content/kplib/05SubsetSum/n00200/R10000/s054.kp,481746,481746,51.58672357
0,/content/kplib/05SubsetSum/n00500/R10000/s036.kp,1274469,1274469,120.3856359
0,/content/kplib/05SubsetSum/n01000/R10000/s095.kp,2438033,2438033,231.9601655
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00050/R10000/s041.kp,18125,2401298,18.82581472
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00100/R10000/s016.kp,34448,4902554,31.52327394
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00200/R10000/s037.kp,73545,9904984,54.96473598
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00500/R10000/s050.kp,183183,24712304,125.0860944
0,/content/kplib/06UncorrelatedWithSimilarWeights/n01000/R10000/s035.kp,352844,49523620,241.763411
0,/content/kplib/07SpannerUncorrelated/n00050/R10000/s049.kp,34230,61342,18.50930119
0,/content/kplib/07SpannerUncorrelated/n00100/R10000/s045.kp,117227,56680,31.24951863
0,/content/kplib/07SpannerUncorrelated/n00200/R10000/s035.kp,341206,394288,54.69103861
0,/content/kplib/07SpannerUncorrelated/n00500/R10000/s015.kp,761276,581264,120.0897565
