,Link,Total Values,Total Weights
0,/content/kplib/00Uncorrelated/n00050/R10000/s052.kp,197862,130972
1,/content/kplib/00Uncorrelated/n00100/R10000/s005.kp,420526,284267
2,/content/kplib/00Uncorrelated/n00200/R10000/s062.kp,803360,468118
3,/content/kplib/00Uncorrelated/n00500/R10000/s023.kp,2016156,1201977
4,/content/kplib/00Uncorrelated/n01000/R10000/s062.kp,3886364,2499371
5,/content/kplib/01WeaklyCorrelated/n00050/R10000/s078.kp,132456,120370
6,/content/kplib/01WeaklyCorrelated/n00100/R10000/s076.kp,265304,242397
7,/content/kplib/01WeaklyCorrelated/n00200/R10000/s088.kp,546211,495535
8,/content/kplib/01WeaklyCorrelated/n00500/R10000/s074.kp,1412343,1296649
9,/content/kplib/01WeaklyCorrelated/n01000/R10000/s000.kp,2686916,2457305
10,/content/kplib/02StronglyCorrelated/n00050/R10000/s035.kp,163631,129631
11,/content/kplib/02StronglyCorrelated/n00100/R10000/s037.kp,311073,242073
12,/content/kplib/02StronglyCorrelated/n00200/R10000/s043.kp,640834,502834
13,/content/kplib/02StronglyCorrelated/n00500/R10000/s031.kp,1559712,1225712
14,/content/kplib/02StronglyCorrelated/n01000/R10000/s098.kp,3085373,2438373
15,/content/kplib/03InverseStronglyCorrelated/n00050/R10000/s019.kp,123611,139611
16,/content/kplib/03InverseStronglyCorrelated/n00100/R10000/s095.kp,265692,299692
17,/content/kplib/03InverseStronglyCorrelated/n00200/R10000/s044.kp,505335,569335
18,/content/kplib/03InverseStronglyCorrelated/n00500/R10000/s085.kp,1281921,1456921
19,/content/kplib/03InverseStronglyCorrelated/n01000/R10000/s075.kp,2632248,2983248
20,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s067.kp,152726,116585
21,/content/kplib/04AlmostStronglyCorrelated/n00100/R10000/s080.kp,310940,239818
22,/content/kplib/04AlmostStronglyCorrelated/n00200/R10000/s073.kp,611890,472886
23,/content/kplib/04AlmostStronglyCorrelated/n00500/R10000/s086.kp,1576176,1239016
24,/content/kplib/04AlmostStronglyCorrelated/n01000/R10000/s057.kp,3122168,2469813
25,/content/kplib/05SubsetSum/n00050/R10000/s029.kp,120877,120877
26,/content/kplib/05SubsetSum/n00100/R10000/s050.kp,246266,246266
27,/content/kplib/05SubsetSum/n00200/R10000/s054.kp,481746,481746
28,/content/kplib/05SubsetSum/n00500/R10000/s036.kp,1274469,1274469
29,/content/kplib/05SubsetSum/n01000/R10000/s095.kp,2438033,2438033
30,/content/kplib/06UncorrelatedWithSimilarWeights/n00050/R10000/s041.kp,18125,2401298
31,/content/kplib/06UncorrelatedWithSimilarWeights/n00100/R10000/s016.kp,34434,4902494
32,/content/kplib/06UncorrelatedWithSimilarWeights/n00200/R10000/s037.kp,73529,9904977
33,/content/kplib/06UncorrelatedWithSimilarWeights/n00500/R10000/s050.kp,184242,24712208
34,/content/kplib/06UncorrelatedWithSimilarWeights/n01000/R10000/s035.kp,358142,49523970
35,/content/kplib/07SpannerUncorrelated/n00050/R10000/s049.kp,34230,61342
36,/content/kplib/07SpannerUncorrelated/n00100/R10000/s045.kp,117227,56680
37,/content/kplib/07SpannerUncorrelated/n00200/R10000/s035.kp,341206,394288
38,/content/kplib/07SpannerUncorrelated/n00500/R10000/s015.kp,761276,581264
39,/content/kplib/07SpannerUncorrelated/n01000/R10000/s063.kp,955422,1688884
40,/content/kplib/08SpannerWeaklyCorrelated/n00050/R10000/s085.kp,122844,48633
41,/content/kplib/08SpannerWeaklyCorrelated/n00100/R10000/s081.kp,202120,114080
42,/content/kplib/08SpannerWeaklyCorrelated/n00200/R10000/s050.kp,356510,174020
43,/content/kplib/08SpannerWeaklyCorrelated/n00500/R10000/s088.kp,1465346,369076
44,/content/kplib/08SpannerWeaklyCorrelated/n01000/R10000/s041.kp,3213929,756967
45,/content/kplib/09SpannerStronglyCorrelated/n00050/R10000/s058.kp,204419,45419
46,/content/kplib/09SpannerStronglyCorrelated/n00100/R10000/s004.kp,417611,44611
47,/content/kplib/09SpannerStronglyCorrelated/n00200/R10000/s087.kp,677736,79736
48,/content/kplib/09SpannerStronglyCorrelated/n00500/R10000/s043.kp,2347012,463012
49,/content/kplib/09SpannerStronglyCorrelated/n01000/R10000/s042.kp,4963381,794381
50,/content/kplib/10MultipleStronglyCorrelated/n00050/R10000/s006.kp,205155,133155
51,/content/kplib/10MultipleStronglyCorrelated/n00100/R10000/s076.kp,392420,242420
52,/content/kplib/10MultipleStronglyCorrelated/n00200/R10000/s032.kp,789912,482912
53,/content/kplib/10MultipleStronglyCorrelated/n00500/R10000/s033.kp,1983488,1234488
54,/content/kplib/10MultipleStronglyCorrelated/n01000/R10000/s057.kp,3932573,2469573
55,/content/kplib/11ProfitCeiling/n00050/R10000/s052.kp,113853,113867
56,/content/kplib/11ProfitCeiling/n00100/R10000/s001.kp,253635,253671
57,/content/kplib/11ProfitCeiling/n00200/R10000/s055.kp,502344,502415
58,/content/kplib/11ProfitCeiling/n00500/R10000/s052.kp,1238946,1239065
59,/content/kplib/11ProfitCeiling/n01000/R10000/s044.kp,2423127,2423457
60,/content/kplib/12Circle/n00050/R10000/s011.kp,8430570,126465
61,/content/kplib/12Circle/n00100/R10000/s009.kp,14865238,222990
62,/content/kplib/12Circle/n00200/R10000/s083.kp,34653823,519834
63,/content/kplib/12Circle/n00500/R10000/s014.kp,82646697,1239764
64,/content/kplib/12Circle/n01000/R10000/s068.kp,167004157,2505191
