,Link,Total Values,Total Weights,Time
0,/content/kplib/00Uncorrelated/n00050/R10000/s052.kp,198132,130838,0.000195503
0,/content/kplib/00Uncorrelated/n00100/R10000/s005.kp,421993,284297,0.000308037
0,/content/kplib/00Uncorrelated/n00200/R10000/s062.kp,809572,469727,0.000513792
0,/content/kplib/00Uncorrelated/n00500/R10000/s023.kp,2054903,1202983,0.001576424
0,/content/kplib/00Uncorrelated/n01000/R10000/s062.kp,4035646,2499682,0.008519173
0,/content/kplib/01WeaklyCorrelated/n00050/R10000/s078.kp,132456,120370,0.00014782
0,/content/kplib/01WeaklyCorrelated/n00100/R10000/s076.kp,265826,242419,0.001430511
0,/content/kplib/01WeaklyCorrelated/n00200/R10000/s088.kp,549877,495635,0.000362396
0,/content/kplib/01WeaklyCorrelated/n00500/R10000/s074.kp,1428808,1296671,0.001239777
0,/content/kplib/01WeaklyCorrelated/n01000/R10000/s000.kp,2727089,2457528,0.006382942
0,/content/kplib/02StronglyCorrelated/n00050/R10000/s035.kp,163632,129632,0.37953639
0,/content/kplib/02StronglyCorrelated/n00100/R10000/s037.kp,312092,242092,0.000193834
0,/content/kplib/02StronglyCorrelated/n00200/R10000/s043.kp,641854,502854,90.00796223
0,/content/kplib/02StronglyCorrelated/n00500/R10000/s031.kp,1578724,1225724,90.0128603
0,/content/kplib/02StronglyCorrelated/n01000/R10000/s098.kp,3142584,2436584,90.00859928
0,/content/kplib/03InverseStronglyCorrelated/n00050/R10000/s019.kp,123709,139709,0.000165224
0,/content/kplib/03InverseStronglyCorrelated/n00100/R10000/s095.kp,266692,299692,0.000882149
0,/content/kplib/03InverseStronglyCorrelated/n00200/R10000/s044.kp,507336,569336,90.00321507
0,/content/kplib/03InverseStronglyCorrelated/n00500/R10000/s085.kp,1296891,1452891,90.00715661
0,/content/kplib/03InverseStronglyCorrelated/n01000/R10000/s075.kp,2667789,2983789,90.01480079
0,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s067.kp,152734,116584,0.011949062
0,/content/kplib/04AlmostStronglyCorrelated/n00100/R10000/s080.kp,311951,239821,0.003489017
0,/content/kplib/04AlmostStronglyCorrelated/n00200/R10000/s073.kp,613932,472958,0.000698805
0,/content/kplib/04AlmostStronglyCorrelated/n00500/R10000/s086.kp,1590116,1239021,0.043735266
0,/content/kplib/04AlmostStronglyCorrelated/n01000/R10000/s057.kp,3170316,2466149,90.00818229
0,/content/kplib/05SubsetSum/n00050/R10000/s029.kp,120877,120877,0.00701642
0,/content/kplib/05SubsetSum/n00100/R10000/s050.kp,246266,246266,0.003432512
0,/content/kplib/05SubsetSum/n00200/R10000/s054.kp,481746,481746,0.000421286
0,/content/kplib/05SubsetSum/n00500/R10000/s036.kp,1274469,1274469,0.003603458
0,/content/kplib/05SubsetSum/n01000/R10000/s095.kp,2438033,2438033,0.007239342
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00050/R10000/s041.kp,18125,2401298,0.042742014
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00100/R10000/s016.kp,34448,4902554,0.229063034
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00200/R10000/s037.kp,73551,9904984,0.000353575
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00500/R10000/s050.kp,184670,24712081,90.00715899
0,/content/kplib/06UncorrelatedWithSimilarWeights/n01000/R10000/s035.kp,365667,49523809,6.572543383
0,/content/kplib/07SpannerUncorrelated/n00050/R10000/s049.kp,34230,61342,90.02069211
0,/content/kplib/07SpannerUncorrelated/n00100/R10000/s045.kp,117227,56680,90.00848269
0,/content/kplib/07SpannerUncorrelated/n00200/R10000/s035.kp,341996,394358,0.038500786
0,/content/kplib/07SpannerUncorrelated/n00500/R10000/s015.kp,761276,581264,90.00763249
0,/content/kplib/07SpannerUncorrelated/n01000/R10000/s063.kp,969596,1688848,90.00810075
0,/content/kplib/08SpannerWeaklyCorrelated/n00050/R10000/s085.kp,122844,48633,0.683359861
0,/content/kplib/08SpannerWeaklyCorrelated/n00100/R10000/s081.kp,202120,114080,90.00411248
0,/content/kplib/08SpannerWeaklyCorrelated/n00200/R10000/s050.kp,356510,174020,90.01483774
0,/content/kplib/08SpannerWeaklyCorrelated/n00500/R10000/s088.kp,1466797,369197,90.00748324
0,/content/kplib/08SpannerWeaklyCorrelated/n01000/R10000/s041.kp,3233341,756995,90.01533461
0,/content/kplib/09SpannerStronglyCorrelated/n00050/R10000/s058.kp,204419,45419,1.146022558
0,/content/kplib/09SpannerStronglyCorrelated/n00100/R10000/s004.kp,417490,44490,90.00895286
0,/content/kplib/09SpannerStronglyCorrelated/n00200/R10000/s087.kp,679760,79760,90.00431156
0,/content/kplib/09SpannerStronglyCorrelated/n00500/R10000/s043.kp,2347012,463012,90.01177645
0,/content/kplib/09SpannerStronglyCorrelated/n01000/R10000/s042.kp,4963381,794381,90.01649213
0,/content/kplib/10MultipleStronglyCorrelated/n00050/R10000/s006.kp,206082,133082,0.000432253
0,/content/kplib/10MultipleStronglyCorrelated/n00100/R10000/s076.kp,393430,242430,0.234183788
0,/content/kplib/10MultipleStronglyCorrelated/n00200/R10000/s032.kp,797901,482901,0.002592802
0,/content/kplib/10MultipleStronglyCorrelated/n00500/R10000/s033.kp,2010488,1234488,90.00462317
0,/content/kplib/10MultipleStronglyCorrelated/n01000/R10000/s057.kp,4022960,2469960,90.00897384
0,/content/kplib/11ProfitCeiling/n00050/R10000/s052.kp,113862,113866,0.690429449
0,/content/kplib/11ProfitCeiling/n00100/R10000/s001.kp,253662,253671,90.01071739
0,/content/kplib/11ProfitCeiling/n00200/R10000/s055.kp,502389,502413,90.00776315
0,/content/kplib/11ProfitCeiling/n00500/R10000/s052.kp,1239027,1239065,90.00685287
0,/content/kplib/11ProfitCeiling/n01000/R10000/s044.kp,2423334,2423456,90.00642824
0,/content/kplib/12Circle/n00050/R10000/s011.kp,8430574,126465,9.613066912
0,/content/kplib/12Circle/n00100/R10000/s009.kp,14865248,222990,0.006064653
0,/content/kplib/12Circle/n00200/R10000/s083.kp,34653846,519834,90.00884628
0,/content/kplib/12Circle/n00500/R10000/s014.kp,82646754,1239764,90.00682425
0,/content/kplib/12Circle/n01000/R10000/s068.kp,167004286,2505191,90.0130868
